eliability :  0.623, time : 1540426000.000
0.104, reliability :  0.704, time : 1540402000.000
mean :  2.872, stdev :  0.219, reliability :  0.924, time : 1543224100.000
mean :  2.648, stdev :  0.198, reliability :  0.925, time : 1543248300.000
mean :  2.274, stdev :  0.226, reliability :  0.901, time : 1543270900.000
mean :  1.875, stdev :  0.228, reliability :  0.878, time : 1543295000.000
mean :  1.531, stdev :  0.151, reliability :  0.901, time : 1543317200.000
mean :  1.427, stdev :  0.188, reliability :  0.868, time : 1543340200.000
mean :  1.240, stdev :  0.170, reliability :  0.863, time : 1543363500.000
mean :  1.132, stdev :  0.164, reliability :  0.855, time : 1543385900.000
mean :  1.084, stdev :  0.162, reliability :  0.851, time : 1543410200.000
mean :  1.139, stdev :  0.178, reliability :  0.844, time : 1543432400.000
mean :  1.296, stdev :  0.165, reliability :  0.872, time : 1543455700.000
mean :  1.428, stdev :  0.166, reliability :  0.884, time : 1543478700.000
mean :  1.435, stdev :  0.169, reliability :  0.882, time : 1543501100.000
mean :  1.320, stdev :  0.177, reliability :  0.866, time : 1543525400.000
mean :  1.217, stdev :  0.163, reliability :  0.866, time : 1543547600.000
mean :  1.189, stdev :  0.163, reliability :  0.863, time : 1543571600.000
mean :  1.255, stdev :  0.159, reliability :  0.873, time : 1543594000.000
mean :  1.408, stdev :  0.190, reliability :  0.865, time : 1543616300.000
mean :  1.592, stdev :  0.175, reliability :  0.890, time : 1543640600.000
mean :  1.774, stdev :  0.180, reliability :  0.899, time : 1543663000.000
mean :  1.956, stdev :  0.192, reliability :  0.902, time : 1543686900.000
mean :  4.626, stdev :  0.421, reliability :  0.909, time : 1543709300.000
mean :  4.640, stdev :  0.416, reliability :  0.910, time : 1543731600.000
mean :  4.638, stdev :  0.414, reliability :  0.911, time : 1543755600.000
mean :  4.631, stdev :  0.418, reliability :  0.910, time : 1543778300.000
mean :  4.645, stdev :  0.416, reliability :  0.910, time : 1543802200.000
mean :  4.636, stdev :  0.414, reliability :  0.911, time : 1543824600.000
mean :  4.642, stdev :  0.411, reliability :  0.912, time : 1543846900.000
mean :  4.646, stdev :  0.414, reliability :  0.911, time : 1543871000.000
mean :  4.631, stdev :  0.418, reliability :  0.910, time : 1543893600.000
mean :  4.644, stdev :  0.413, reliability :  0.911, time : 1543917600.000
mean :  4.644, stdev :  0.410, reliability :  0.912, time : 1543940000.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1543963000.000
mean :  4.644, stdev :  0.416, reliability :  0.910, time : 1543986200.000
mean :  4.635, stdev :  0.417, reliability :  0.910, time : 1544008700.000
mean :  4.645, stdev :  0.413, reliability :  0.911, time : 1544032900.000
mean :  4.647, stdev :  0.411, reliability :  0.912, time : 1544055300.000
mean :  4.635, stdev :  0.417, reliability :  0.910, time : 1544079000.000
mean :  4.645, stdev :  0.414, reliability :  0.911, time : 1544101500.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1544124000.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1544148200.000
mean :  4.647, stdev :  0.415, reliability :  0.911, time : 1544170500.000
mean :  4.638, stdev :  0.415, reliability :  0.910, time : 1544194800.000
mean :  4.644, stdev :  0.414, reliability :  0.911, time : 1544217100.000
mean :  4.642, stdev :  0.412, reliability :  0.911, time : 1544239200.000
mean :  4.633, stdev :  0.417, reliability :  0.910, time : 1544263400.000
mean :  4.644, stdev :  0.415, reliability :  0.911, time : 1544286100.000
mean :  4.639, stdev :  0.416, reliability :  0.910, time : 1544310100.000
mean :  4.644, stdev :  0.414, reliability :  0.911, time : 1544332300.000
mean :  4.651, stdev :  0.411, reliability :  0.912, time : 1544354600.000
mean :  4.636, stdev :  0.417, reliability :  0.910, time : 1544378600.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1544401300.000
mean :  4.643, stdev :  0.412, reliability :  0.911, time : 1544425300.000
mean :  4.639, stdev :  0.415, reliability :  0.911, time : 1544447600.000
mean :  4.646, stdev :  0.414, reliability :  0.911, time : 1544470400.000
mean :  4.632, stdev :  0.418, reliability :  0.910, time : 1544494000.000
mean :  4.641, stdev :  0.416, reliability :  0.910, time : 1544516400.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1544540700.000
mean :  4.630, stdev :  0.420, reliability :  0.909, time : 1544562900.000
mean :  4.646, stdev :  0.413, reliability :  0.911, time : 1544586400.000
mean :  4.638, stdev :  0.414, reliability :  0.911, time : 1544609300.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1544631600.000
mean :  4.646, stdev :  0.415, reliability :  0.911, time : 1544656000.000
mean :  4.637, stdev :  0.415, reliability :  0.911, time : 1544678300.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1544702300.000
mean :  4.645, stdev :  0.410, reliability :  0.912, time : 1544724600.000
mean :  4.637, stdev :  0.416, reliability :  0.910, time : 1544746900.000
mean :  4.645, stdev :  0.415, reliability :  0.911, time : 1544771200.000
mean :  4.639, stdev :  0.413, reliability :  0.911, time : 1544793600.000
mean :  4.642, stdev :  0.414, reliability :  0.911, time : 1544817700.000
mean :  4.647, stdev :  0.414, reliability :  0.911, time : 1544839800.000
mean :  4.636, stdev :  0.419, reliability :  0.910, time : 1544862100.000
mean :  4.644, stdev :  0.417, reliability :  0.910, time : 1544886400.000
mean :  4.642, stdev :  0.412, reliability :  0.911, time : 1544908900.000
