v
  0.176, reliability : -0.545, time : 220393970.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 224418450.000
mean :  4.767, stdev :  0.290, reliability :  0.939, time : 224441620.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 224464750.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 224487950.000
mean :  4.764, stdev :  0.289, reliability :  0.939, time : 224511070.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 224534240.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 224557440.000
mean :  4.759, stdev :  0.292, reliability :  0.939, time : 224580560.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 224603740.000
mean :  4.765, stdev :  0.289, reliability :  0.939, time : 224626930.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 224650100.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 224673300.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 224696420.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 224719570.000
mean :  4.766, stdev :  0.291, reliability :  0.939, time : 224742770.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 224765890.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 224789070.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 224812220.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 224835380.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 224858560.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 224881680.000
mean :  4.767, stdev :  0.290, reliability :  0.939, time : 224904910.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 224928020.000
mean :  4.759, stdev :  0.293, reliability :  0.938, time : 224951170.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 224974350.000
mean :  4.761, stdev :  0.290, reliability :  0.939, time : 224997470.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 225020660.000
mean :  4.766, stdev :  0.289, reliability :  0.939, time : 225043840.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 225067010.000
mean :  4.767, stdev :  0.292, reliability :  0.939, time : 225090190.000
mean :  4.763, stdev :  0.289, reliability :  0.939, time : 225113330.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 225136500.000
mean :  4.765, stdev :  0.291, reliability :  0.939, time : 225159700.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 225182800.000
mean :  4.766, stdev :  0.291, reliability :  0.939, time : 225205970.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 225229150.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 225252270.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 225275410.000
mean :  4.761, stdev :  0.293, reliability :  0.939, time : 225298560.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 225321710.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 225344940.000
mean :  4.759, stdev :  0.293, reliability :  0.938, time : 225368110.000
mean :  4.767, stdev :  0.293, reliability :  0.939, time : 225391300.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 225414420.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 225437550.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 225460750.000
mean :  4.759, stdev :  0.294, reliability :  0.938, time : 225483870.000
mean :  4.764, stdev :  0.293, reliability :  0.939, time : 225507090.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 225530240.000
mean :  4.765, stdev :  0.291, reliability :  0.939, time : 225553410.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 225576580.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 225599710.000
mean :  4.766, stdev :  0.291, reliability :  0.939, time : 225622880.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 225646080.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 225669250.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 225692400.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 225715580.000
mean :  4.765, stdev :  0.291, reliability :  0.939, time : 225738800.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 225761950.000
mean :  4.761, stdev :  0.293, reliability :  0.938, time : 225785100.000
mean :  4.766, stdev :  0.293, reliability :  0.939, time : 225808260.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 225831440.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 225854590.000
mean :  4.766, stdev :  0.291, reliability :  0.939, time : 225877780.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 225900960.000
mean :  4.767, stdev :  0.292, reliability :  0.939, time : 225924110.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 225947280.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 225970420.000
mean :  4.768, stdev :  0.292, reliability :  0.939, time : 225993600.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 226016750.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 226039970.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 226063120.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 226086300.000
mean :  4.766, stdev :  0.293, reliability :  0.939, time : 226109490.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 226132670.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 226155790.000
mean :  4.765, stdev :  0.291, reliability :  0.939, time : 226178980.000
mean :  4.760, stdev :  0.293, reliability :  0.938, time : 226202160.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 226225310.000
