mean :  4.592, stdev :  0.433, reliability :  0.906, time : 2100046100.000
mean :  4.602, stdev :  0.434, reliability :  0.906, time : 2100068000.000
mean :  4.590, stdev :  0.433, reliability :  0.906, time : 2100094000.000
mean :  4.597, stdev :  0.435, reliability :  0.905, time : 2100114700.000
mean :  4.596, stdev :  0.429, reliability :  0.907, time : 2100140200.000
mean :  4.585, stdev :  0.435, reliability :  0.905, time : 2100161500.000
mean :  4.596, stdev :  0.436, reliability :  0.905, time : 2100184300.000
mean :  4.587, stdev :  0.437, reliability :  0.905, time : 2100208800.000
mean :  4.593, stdev :  0.435, reliability :  0.905, time : 2100230000.000
mean :  4.591, stdev :  0.435, reliability :  0.905, time : 2100256300.000
mean :  4.583, stdev :  0.439, reliability :  0.904, time : 2100276900.000
mean :  4.594, stdev :  0.438, reliability :  0.905, time : 2100300700.000
mean :  4.594, stdev :  0.431, reliability :  0.906, time : 2100323600.000
mean :  4.596, stdev :  0.431, reliability :  0.906, time : 2100345200.000
mean :  4.601, stdev :  0.434, reliability :  0.906, time : 2100371800.000
mean :  4.583, stdev :  0.439, reliability :  0.904, time : 2100392300.000
mean :  4.593, stdev :  0.436, reliability :  0.905, time : 2100417000.000
mean :  4.591, stdev :  0.432, reliability :  0.906, time : 2100439200.000
mean :  4.587, stdev :  0.435, reliability :  0.905, time : 2100460900.000
mean :  4.598, stdev :  0.435, reliability :  0.905, time : 2100486900.000
mean :  4.586, stdev :  0.437, reliability :  0.905, time : 2100507800.000
mean :  4.590, stdev :  0.435, reliability :  0.905, time : 2100533000.000
mean :  4.589, stdev :  0.434, reliability :  0.905, time : 2100554600.000
mean :  4.576, stdev :  0.443, reliability :  0.903, time : 2100576900.000
mean :  4.591, stdev :  0.437, reliability :  0.905, time : 2100601900.000
mean :  4.585, stdev :  0.433, reliability :  0.905, time : 2100623200.000
mean :  4.582, stdev :  0.437, reliability :  0.905, time : 2100649200.000
mean :  4.582, stdev :  0.444, reliability :  0.903, time : 2100670000.000
mean :  4.577, stdev :  0.439, reliability :  0.904, time : 2100693400.000
mean :  4.595, stdev :  0.434, reliability :  0.905, time : 2100716800.000
mean :  4.594, stdev :  0.431, reliability :  0.906, time : 2100738300.000
mean :  4.575, stdev :  0.446, reliability :  0.903, time : 2100764800.000
mean :  4.570, stdev :  0.447, reliability :  0.902, time : 2100785300.000
mean :  4.571, stdev :  0.445, reliability :  0.903, time : 2100809900.000
