mean :  1.153, stdev :  0.912, reliability :  0.209, time : 279991580.000
mean :  1.122, stdev :  0.910, reliability :  0.190, time : 280014400.000
mean :  1.146, stdev :  0.914, reliability :  0.203, time : 280037120.000
mean :  1.167, stdev :  0.913, reliability :  0.218, time : 280059870.000
mean :  1.116, stdev :  0.909, reliability :  0.186, time : 280082750.000
mean :  1.152, stdev :  0.918, reliability :  0.203, time : 280105410.000
mean :  1.161, stdev :  0.906, reliability :  0.219, time : 280128160.000
mean :  1.126, stdev :  0.910, reliability :  0.193, time : 280151010.000
mean :  1.154, stdev :  0.917, reliability :  0.206, time : 280173660.000
mean :  1.148, stdev :  0.916, reliability :  0.203, time : 280196480.000
mean :  1.125, stdev :  0.910, reliability :  0.191, time : 280219260.000
mean :  1.161, stdev :  0.915, reliability :  0.212, time : 280241980.000
mean :  1.124, stdev :  0.913, reliability :  0.187, time : 280264830.000
mean :  1.147, stdev :  0.914, reliability :  0.203, time : 280287550.000
mean :  1.161, stdev :  0.907, reliability :  0.219, time : 280310240.000
mean :  1.113, stdev :  0.905, reliability :  0.186, time : 280333120.000
mean :  1.138, stdev :  0.911, reliability :  0.200, time : 280355780.000
mean :  1.147, stdev :  0.897, reliability :  0.218, time : 280378560.000
mean :  1.112, stdev :  0.901, reliability :  0.189, time : 280401410.000
mean :  1.143, stdev :  0.911, reliability :  0.203, time : 280424030.000
mean :  1.139, stdev :  0.911, reliability :  0.200, time : 280446850.000
mean :  1.116, stdev :  0.903, reliability :  0.191, time : 280469630.000
mean :  1.150, stdev :  0.911, reliability :  0.208, time : 280492290.000
mean :  1.126, stdev :  0.910, reliability :  0.192, time : 280515100.000
mean :  1.142, stdev :  0.911, reliability :  0.202, time : 280537790.000
mean :  1.162, stdev :  0.908, reliability :  0.219, time : 280560540.000
mean :  1.114, stdev :  0.910, reliability :  0.183, time : 280583390.000
mean :  1.156, stdev :  0.918, reliability :  0.206, time : 280606110.000
mean :  1.160, stdev :  0.904, reliability :  0.221, time : 280628860.000
mean :  1.122, stdev :  0.910, reliability :  0.189, time : 280651740.000
mean :  1.153, stdev :  0.917, reliability :  0.204, time : 280674400.000
mean :  1.149, stdev :  0.915, reliability :  0.203, time : 280697220.000
mean :  1.122, stdev :  0.907, reliability :  0.192, time : 280720000.000
mean :  1.157, stdev :  0.913, reliability :  0.211, time : 280742660.000
mean :  1.124, stdev :  0.910, reliability :  0.191, time : 280765470.000
mean :  1.139, stdev :  0.910, reliability :  0.201, time : 280788260.000
mean :  1.163, stdev :  0.907, reliability :  0.220, time : 280810980.000
mean :  1.114, stdev :  0.907, reliability :  0.186, time : 280833890.000
mean :  1.140, stdev :  0.912, reliability :  0.200, time : 280856510.000
