 0.000, reliability :    NAN, time : 583165700.000
mean :  4.450, stdev :  0.211, reliability :  0.953, time : 586030590.000
mean :  4.476, stdev :  0.212, reliability :  0.953, time : 586053950.000
mean :  4.502, stdev :  0.212, reliability :  0.953, time : 586077440.000
mean :  4.524, stdev :  0.213, reliability :  0.953, time : 586100930.000
mean :  4.545, stdev :  0.213, reliability :  0.953, time : 586124420.000
mean :  4.565, stdev :  0.214, reliability :  0.953, time : 586147780.000
mean :  4.583, stdev :  0.214, reliability :  0.953, time : 586171330.000
mean :  4.599, stdev :  0.215, reliability :  0.953, time : 586194940.000
mean :  4.614, stdev :  0.215, reliability :  0.953, time : 586218300.000
mean :  4.629, stdev :  0.215, reliability :  0.954, time : 586241860.000
mean :  4.642, stdev :  0.215, reliability :  0.954, time : 586265470.000
mean :  4.654, stdev :  0.216, reliability :  0.954, time : 586288960.000
mean :  4.664, stdev :  0.216, reliability :  0.954, time : 586312510.000
mean :  4.675, stdev :  0.216, reliability :  0.954, time : 586335740.000
mean :  4.684, stdev :  0.216, reliability :  0.954, time : 586359620.000
mean :  4.693, stdev :  0.217, reliability :  0.954, time : 586383040.000
mean :  4.701, stdev :  0.217, reliability :  0.954, time : 586406460.000
mean :  4.708, stdev :  0.217, reliability :  0.954, time : 586429890.000
mean :  4.714, stdev :  0.217, reliability :  0.954, time : 586453630.000
mean :  4.721, stdev :  0.217, reliability :  0.954, time : 586477060.000
mean :  4.726, stdev :  0.217, reliability :  0.954, time : 586500480.000
mean :  4.732, stdev :  0.218, reliability :  0.954, time : 586524290.000
mean :  4.736, stdev :  0.218, reliability :  0.954, time : 586548030.000
mean :  4.741, stdev :  0.218, reliability :  0.954, time : 586571460.000
mean :  4.745, stdev :  0.218, reliability :  0.954, time : 586595200.000
mean :  4.749, stdev :  0.218, reliability :  0.954, time : 586618690.000
mean :  4.752, stdev :  0.218, reliability :  0.954, time : 586642430.000
mean :  4.755, stdev :  0.218, reliability :  0.954, time : 586665860.000
mean :  4.759, stdev :  0.218, reliability :  0.954, time : 586689340.000
mean :  4.762, stdev :  0.218, reliability :  0.954, time : 586712770.000
mean :  4.764, stdev :  0.218, reliability :  0.954, time : 586736510.000
mean :  4.765, stdev :  0.218, reliability :  0.954, time : 586759940.000
mean :  4.768, stdev :  0.218, reliability :  0.954, time : 586783680.000
mean :  4.770, stdev :  0.218, reliability :  0.954, time : 586807100.000
mean :  4.771, stdev :  0.218, reliability :  0.954, time : 586830850.000
mean :  4.772, stdev :  0.218, reliability :  0.954, time : 586854340.000
mean :  4.775, stdev :  0.219, reliability :  0.954, time : 586877890.000
mean :  4.776, stdev :  0.219, reliability :  0.954, time : 586901440.000
mean :  4.777, stdev :  0.219, reliability :  0.954, time : 586925120.000
mean :  4.778, stdev :  0.219, reliability :  0.954, time : 586948670.000
mean :  4.780, stdev :  0.219, reliability :  0.954, time : 586972290.000
mean :  4.781, stdev :  0.219, reliability :  0.954, time : 586995970.000
mean :  4.778, stdev :  0.219, reliability :  0.954, time : 587019580.000
mean :  4.708, stdev :  0.226, reliability :  0.952, time : 587043260.000
mean :  4.351, stdev :  0.222, reliability :  0.949, time : 587066300.000
mean :  4.010, stdev :  0.212, reliability :  0.947, time : 587089410.000
mean :  3.695, stdev :  0.202, reliability :  0.945, time : 587112830.000
mean :  3.407, stdev :  0.194, reliability :  0.943, time : 587135870.000
mean :  3.140, stdev :  0.185, reliability :  0.941, time : 587158980.000
