00
mean :  4.651, stdev :  0.409, reliability :  0.912, time : 1210135200.000
mean :  4.647, stdev :  0.409, reliability :  0.912, time : 1210158500.000
mean :  4.652, stdev :  0.410, reliability :  0.912, time : 1210181800.000
mean :  4.644, stdev :  0.411, reliability :  0.912, time : 1210204700.000
mean :  4.949, stdev :  0.231, reliability :  0.953, time : 1210227700.000
mean :  4.539, stdev :  0.255, reliability :  0.944, time : 1210250800.000
mean :  4.247, stdev :  0.255, reliability :  0.940, time : 1210273800.000
mean :  4.008, stdev :  0.217, reliability :  0.946, time : 1210297200.000
mean :  3.804, stdev :  0.233, reliability :  0.939, time : 1210320300.000
mean :  3.627, stdev :  0.222, reliability :  0.939, time : 1210343400.000
mean :  3.464, stdev :  0.220, reliability :  0.936, time : 1210366300.000
mean :  3.318, stdev :  0.225, reliability :  0.932, time : 1210389200.000
mean :  3.197, stdev :  0.203, reliability :  0.936, time : 1210412500.000
mean :  3.085, stdev :  0.212, reliability :  0.931, time : 1210435800.000
mean :  2.983, stdev :  0.213, reliability :  0.929, time : 1210458800.000
mean :  2.881, stdev :  0.201, reliability :  0.930, time : 1210481900.000
mean :  2.795, stdev :  0.207, reliability :  0.926, time : 1210504800.000
mean :  2.719, stdev :  0.197, reliability :  0.928, time : 1210527900.000
mean :  2.644, stdev :  0.199, reliability :  0.925, time : 1210551300.000
mean :  2.576, stdev :  0.202, reliability :  0.922, time : 1210574300.000
mean :  2.509, stdev :  0.188, reliability :  0.925, time : 1210597200.000
mean :  2.447, stdev :  0.195, reliability :  0.920, time : 1210620300.000
mean :  2.396, stdev :  0.192, reliability :  0.920, time : 1210643500.000
mean :  2.342, stdev :  0.189, reliability :  0.919, time : 1210666500.000
mean :  2.292, stdev :  0.193, reliability :  0.916, time : 1210689900.000
mean :  2.248, stdev :  0.183, reliability :  0.919, time : 1210712800.000
mean :  2.198, stdev :  0.188, reliability :  0.915, time : 1210736000.000
mean :  2.152, stdev :  0.188, reliability :  0.913, time : 1210758900.000
mean :  2.102, stdev :  0.181, reliability :  0.914, time : 1210782000.000
mean :  2.062, stdev :  0.184, reliability :  0.911, time : 1210805500.000
mean :  2.031, stdev :  0.181, reliability :  0.911, time : 1210828700.000
mean :  2.002, stdev :  0.181, reliability :  0.910, time : 1210851500.000
mean :  1.980, stdev :  0.181, reliability :  0.908, time : 1210874600.000
mean :  1.959, stdev :  0.176, reliability :  0.910, time : 1210897700.000
mean :  1.938, stdev :  0.180, reliability :  0.907, time : 1210920600.000
mean :  1.924, stdev :  0.180, reliability :  0.907, time : 1210944000.000
mean :  1.898, stdev :  0.177, reliability :  0.907, time : 1210967000.000
mean :  1.876, stdev :  0.179, reliability :  0.904, time : 1210990100.000
mean :  1.854, stdev :  0.176, reliability :  0.905, time : 1211013200.000
mean :  1.832, stdev :  0.177, reliability :  0.903, time : 1211036000.000
mean :  1.810, stdev :  0.178, reliability :  0.902, time : 1211059500.000
mean :  1.790, stdev :  0.173, reliability :  0.903, time : 1211082500.000
mean :  1.776, stdev :  0.176, reliability :  0.901, time : 1211105400.000
mean :  1.770, stdev :  0.175, reliability :  0.901, time : 1211128300.000
mean :  1.760, stdev :  0.175, reliability :  0.901, time : 1211151200.000
mean :  1.753, stdev :  0.174, reliability :  0.901, time : 1211174400.000
mean :  1.751, stdev :  0.174, reliability :  0.901, time : 1211197700.000
mean :  1.737, stdev :  0.175, reliability :  0.899, time : 1211220500.000
mean :  1.723, stdev :  0.175, reliability :  0.899, time : 1211243500.000
mean :  1.704, stdev :  0.173, reliability :  0.899, time : 1211266700.000
mean :  1.693, stdev :  0.174, reliability :  0.897, time : 1211289600.000
mean :  1.684, stdev :  0.172, reliability :  0.898, time : 1211313000.000
mean :  1.666, stdev :  0.173, reliability :  0.896, time : 1211335900.000
mean :  1.654, stdev :  0.172, reliability :  0.896, time : 1211358800.000
mean :  1.641, stdev :  0.168, reliability :  0.897, time : 1211381900.000
mean :  1.628, stdev :  0.172, reliability :  0.894, time : 1211404800.000
mean :  1.616, stdev :  0.172, reliability :  0.894, time : 1211428100.000
mean :  1.604, stdev :  0.170, reliability :  0.894, time : 1211451300.000
mean :  1.597, stdev :  0.170, reliability :  0.893, time : 1211474200.000
mean :  1.593, stdev :  0.170, reliability :  0.893, time : 1211497100.000
mean :  1.584, stdev :  0.170, reliability :  0.893, time : 1211520100.000
mean :  1.576, stdev :  0.171, reliability :  0.892, time : 1211543000.000
mean :  1.564, stdev :  0.168, reliability :  0.893, time : 1211566300.000
mean :  1.561, stdev :  0.169, reliability :  0.892, time : 1211589200.000
mean :  1.557, stdev :  0.168, reliability :  0.892, time : 1211612400.000
mean :  1.551, stdev :  0.169, reliability :  0.891, time : 1211635300.000
mean :  1.543, stdev :  0.170, reliability :  0.890, time : 1211658200.000
mean :  1.536, stdev :  0.166, reliability :  0.892, time : 1211681700.000
mean :  1.519, stdev :  0.168, reliability :  0.889, time : 1211704600.000
