0.000, reliability :    NAN, time : 853358020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857515780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857537280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857557890.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857579710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857599810.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857621440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857642430.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857663420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857685060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857705600.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857727300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857747650.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857769090.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857790210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857811200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857832960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857853310.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857874940.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857895490.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857916860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857938180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857958910.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857980740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858001020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858022660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858043200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858064510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858085890.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858106620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858128450.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858148540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858170180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858190980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858212290.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858233600.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858254210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858276030.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858296320.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858317760.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858338750.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858359810.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858381500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858401980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858423620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858444100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858465470.000
