.eliability :    NAN, timean :  0.000, stdev :  0.000, reliability :    NAN, time : 6475199.500
mean :  1.629, stdev :  0.139, reliability :  0.915, time : 10118947.000
mean :  1.875, stdev :  0.145, reliability :  0.922, time : 10142015.000
mean :  2.100, stdev :  0.153, reliability :  0.927, time : 10165034.000
mean :  2.308, stdev :  0.157, reliability :  0.932, time : 10188068.000
mean :  2.502, stdev :  0.163, reliability :  0.935, time : 10211164.000
mean :  2.681, stdev :  0.168, reliability :  0.937, time : 10234327.000
mean :  2.845, stdev :  0.172, reliability :  0.940, time : 10257459.000
mean :  2.997, stdev :  0.176, reliability :  0.941, time : 10280713.000
mean :  3.137, stdev :  0.179, reliability :  0.943, time : 10303889.000
mean :  3.267, stdev :  0.183, reliability :  0.944, time : 10327156.000
mean :  3.386, stdev :  0.186, reliability :  0.945, time : 10350353.000
mean :  3.496, stdev :  0.188, reliability :  0.946, time : 10373596.000
mean :  3.598, stdev :  0.191, reliability :  0.947, time : 10396881.000
mean :  3.690, stdev :  0.193, reliability :  0.948, time : 10420206.000
mean :  3.776, stdev :  0.195, reliability :  0.948, time : 10443572.000
mean :  3.856, stdev :  0.197, reliability :  0.949, time : 10466850.000
mean :  3.928, stdev :  0.199, reliability :  0.949, time : 10490204.000
mean :  3.996, stdev :  0.200, reliability :  0.950, time : 10513580.000
mean :  4.058, stdev :  0.202, reliability :  0.950, time : 10536915.000
mean :  4.115, stdev :  0.203, reliability :  0.951, time : 10560202.000
mean :  4.167, stdev :  0.205, reliability :  0.951, time : 10583492.000
mean :  4.216, stdev :  0.205, reliability :  0.951, time : 10606813.000
mean :  4.261, stdev :  0.207, reliability :  0.951, time : 10630149.000
mean :  4.302, stdev :  0.208, reliability :  0.952, time : 10653445.000
mean :  4.341, stdev :  0.208, reliability :  0.952, time : 10676735.000
mean :  4.376, stdev :  0.209, reliability :  0.952, time : 10700118.000
mean :  4.408, stdev :  0.210, reliability :  0.952, time : 10723414.000
mean :  4.439, stdev :  0.211, reliability :  0.953, time : 10746812.000
mean :  4.466, stdev :  0.211, reliability :  0.953, time : 10770100.000
mean :  4.491, stdev :  0.212, reliability :  0.953, time : 10793436.000
mean :  4.514, stdev :  0.213, reliability :  0.953, time : 10816792.000
mean :  4.536, stdev :  0.213, reliability :  0.953, time : 10840114.000
mean :  4.556, stdev :  0.214, reliability :  0.953, time : 10863507.000
mean :  4.574, stdev :  0.214, reliability :  0.953, time : 10886822.000
mean :  4.592, stdev :  0.214, reliability :  0.953, time : 10910200.000
mean :  4.607, stdev :  0.215, reliability :  0.953, time : 10933638.000
mean :  4.621, stdev :  0.215, reliability :  0.953, time : 10956906.000
mean :  4.635, stdev :  0.215, reliability :  0.954, time : 10980339.000
mean :  4.647, stdev :  0.216, reliability :  0.954, time : 11003645.000
mean :  4.658, stdev :  0.216, reliability :  0.954, time : 11027055.000
mean :  4.669, stdev :  0.216, reliability :  0.954, time : 11050647.000
mean :  4.679, stdev :  0.216, reliability :  0.954, time : 11073942.000
mean :  4.687, stdev :  0.217, reliability :  0.954, time : 11097385.000
mean :  4.695, stdev :  0.217, reliability :  0.954, time : 11120895.000
mean :  4.703, stdev :  0.217, reliability :  0.954, time : 11144242.000
mean :  4.710, stdev :  0.217, reliability :  0.954, time : 11167748.000
mean :  4.716, stdev :  0.217, reliability :  0.954, time : 11191105.000
mean :  4.722, stdev :  0.217, reliability :  0.954, time : 11214570.000
mean :  4.728, stdev :  0.217, reliability :  0.954, time : 11237980.000
mean :  4.732, stdev :  0.218, reliability :  0.954, time : 11261394.000
mean :  4.736, stdev :  0.218, reliability :  0.954, time : 11284855.000
mean :  4.741, stdev :  0.218, reliability :  0.954, time : 11308262.000
mean :  4.745, stdev :  0.218, reliability :  0.954, time : 11331686.000
mean :  4.748, stdev :  0.218, reliability :  0.954, time : 11355052.000
mean :  4.752, stdev :  0.218, reliability :  0.954, time : 11378354.000
mean :  4.755, stdev :  0.218, reliability :  0.954, time : 11401797.000
mean :  4.757, stdev :  0.218, reliability :  0.954, time : 11425180.000
mean :  4.760, stdev :  0.218, reliability :  0.954, time : 11448588.000
